benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
sha256_fixed,board,1,ok,6,85,526,2.15,19036.89,,2,0,244
sha256_fixed,board,2,ok,6,85,526,2.82,238494.11,,3,0,244
sha256_fixed,board,3,ok,6,85,526,3.88,19050.95,,2,0,244
sha256_fixed,board,4,ok,6,85,526,3.26,660477.14,,4,1,244
sha256_fixed,board,5,ok,6,85,526,2.52,19011.08,,2,0,244
sha256_fixed,board,6,ok,6,85,526,1.85,19015.27,,2,0,244
sha256_fixed,board,7,ok,6,85,526,2.71,947897.81,,3,0,244
sha256_fixed,board,8,ok,6,85,526,2.7,43450.46,,3,0,244
sha256_fixed,board,9,ok,6,85,526,3.68,825772.21,,3,0,244
sha256_fixed,board,10,ok,6,85,526,1.79,18957.5,,2,0,244
