benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
sha256_fixed,board,1,ok,10,7,0,2.17,84628.6,,7,0,244
sha256_fixed,board,2,ok,10,7,0,3.09,546706.89,,12,0,244
sha256_fixed,board,3,ok,10,7,0,4.09,151271.19,,13,0,244
sha256_fixed,board,4,ok,10,7,0,3.91,1453499.74,,11,0,244
sha256_fixed,board,5,ok,10,7,0,4.39,1844149.88,,10,0,244
sha256_fixed,board,6,ok,10,7,0,2.61,702815.59,,12,0,244
sha256_fixed,board,7,ok,10,7,0,3.78,2028454.53,,12,0,244
sha256_fixed,board,8,ok,10,7,0,3.51,882416.51,,16,0,244
sha256_fixed,board,9,ok,10,7,0,3.7,902112.82,,10,0,244
sha256_fixed,board,10,ok,10,7,0,1.87,84209.4,,7,0,244
