benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
activity_recognition,board,1,ok,8,19,0,5.49,3375865.23,,50,1,64
activity_recognition,board,2,ok,8,19,0,7.13,4539325.43,,64,1,64
activity_recognition,board,3,ok,8,19,0,7.91,4070700.76,,112,1,64
activity_recognition,board,4,ok,8,19,0,21.69,19132547.92,,95,0,64
activity_recognition,board,5,ok,8,19,0,14.94,12481393.02,,70,4,64
activity_recognition,board,6,ok,8,19,0,7.71,5832470.75,,64,1,64
activity_recognition,board,7,ok,8,19,0,11.7,10032265.23,,64,0,64
activity_recognition,board,8,ok,8,19,0,17.25,14624223.87,,91,9,64
activity_recognition,board,9,ok,8,19,0,16.23,13397789.33,,60,0,64
activity_recognition,board,10,ok,8,19,0,13.69,11878007.85,,59,9,64
