benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
poly1305,board,1,ok,0,0,502,2.08,22.19,,1,0,108
poly1305,board,2,ok,0,0,502,2.57,22.19,,1,0,108
poly1305,board,3,ok,0,0,502,3.89,22.19,,1,0,108
poly1305,board,4,ok,0,0,502,2.49,22.19,,1,0,108
poly1305,board,5,ok,0,0,502,2.47,22.19,,1,0,108
poly1305,board,6,ok,0,0,502,1.87,22.19,,1,0,108
poly1305,board,7,ok,0,0,502,1.71,22.19,,1,0,108
poly1305,board,8,ok,0,0,502,2.69,22.19,,2,0,108
poly1305,board,9,ok,0,0,502,2.77,22.19,,1,0,108
poly1305,board,10,ok,0,0,502,1.72,22.19,,1,0,108
