benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
cuckoo_filter,board,1,ok,2,10,494,2.17,13621.34,,2,0,256
cuckoo_filter,board,2,ok,2,10,494,2.61,87493.21,,2,0,256
cuckoo_filter,board,3,ok,2,10,494,3.9,13603.85,,2,0,256
cuckoo_filter,board,4,ok,2,10,494,3.19,650093.22,,2,0,256
cuckoo_filter,board,5,ok,2,10,494,2.57,13620.42,,2,0,256
cuckoo_filter,board,6,ok,2,10,494,1.9,13744.17,,2,0,256
cuckoo_filter,board,7,ok,2,10,494,1.57,2705.09,,1,0,256
cuckoo_filter,board,8,ok,2,10,494,2.71,38327.62,,3,0,256
cuckoo_filter,board,9,ok,2,10,494,2.88,112087.71,,2,0,256
cuckoo_filter,board,10,ok,2,10,494,1.76,13596.45,,2,0,256
