benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
sensor_fusion,board,1,ok,2,15,684,2.13,114496.61,,9,0,613
sensor_fusion,board,2,ok,2,15,684,3.13,565940.25,,12,0,613
sensor_fusion,board,3,ok,2,15,684,4.09,171284.64,,13,0,613
sensor_fusion,board,4,ok,2,15,684,5.79,3267288.61,,12,0,613
sensor_fusion,board,5,ok,2,15,684,4.35,1863600.34,,12,0,613
sensor_fusion,board,6,ok,2,15,684,2.57,711390.59,,11,0,613
sensor_fusion,board,7,ok,2,15,684,3.75,2038109.01,,12,0,613
sensor_fusion,board,8,ok,2,15,684,3.55,880582.13,,14,0,613
sensor_fusion,board,9,ok,2,15,684,3.7,920504.03,,10,0,613
sensor_fusion,board,10,ok,2,15,684,1.84,114427.17,,9,0,613
