benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
chacha20,board,1,ok,1,27,491,2.04,1649.94,,1,0,97
chacha20,board,2,ok,1,27,491,2.48,1649.91,,1,0,97
chacha20,board,3,ok,1,27,491,3.93,1649.95,,1,0,97
chacha20,board,4,ok,1,27,491,2.49,1649.86,,1,0,97
chacha20,board,5,ok,1,27,491,2.61,1649.94,,1,0,97
chacha20,board,6,ok,1,27,491,1.8,1650.0,,1,0,97
chacha20,board,7,ok,1,27,491,1.71,1649.83,,1,0,97
chacha20,board,8,ok,1,27,491,2.55,1649.97,,2,0,97
chacha20,board,9,ok,1,27,491,2.91,1649.91,,1,0,97
chacha20,board,10,ok,1,27,491,1.77,1649.94,,1,0,97
